RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote;Tolerance
C176;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C177;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C178;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C179;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C180;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C181;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C182;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C183;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C184;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C185;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C186;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C187;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C188;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C189;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C190;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C191;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C192;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C193;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C194;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C195;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C196;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C197;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C198;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C199;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C200;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C201;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C202;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C203;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C204;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C205;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C206;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C207;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C208;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C209;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C210;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C211;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C212;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C213;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C214;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C215;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C216;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C217;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C218;Конденсатор танталовый;T58MM106M6R3C0300; ;10 мк; ; ;Vishay;*;0603; ; ; ; ; ; ;20
C219;Чип конденсатор;C0402C180J4RAC; ;18; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C220;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C221;Конденсатор танталовый;T58MM106M6R3C0300; ;10 мк; ; ;Vishay;*;0603; ; ; ; ; ; ;20
C222;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C223;Чип конденсатор;C0402C180J4RAC; ;18; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C224;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C225;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C226;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C227;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C228;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C229;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C230;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C231;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C232;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C233;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C234;Чип конденсатор;C0402C393J4RAC; ;0,039 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C235;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C236;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C237;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C238;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C239;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C240;Чип конденсатор;C1206C106K3RAC; ;10 мк; ; ;Vishay;*;1206;X7R; ; ; ;Прочие изделия; ;10
C241;Конденсатор танталовый;T58MM106M6R3C0300; ;10 мк; ; ;Vishay;*;0603; ; ; ; ; ; ;20
C242;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C243;Чип конденсатор;C0402C180J4RAC; ;18; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C244;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C245;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C246;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C247;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C248;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C249;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C250;Чип конденсатор;C0805C475K4RAC; ;4,7 мк; ; ;Kemet; ;0805;X7R; ; ; ;Прочие изделия; ;10
C251;Чип конденсатор;C0402C180J4RAC; ;18; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C252;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C253;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C254;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C255;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C256;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
DA1;Микросхема;MMPF0100NPANES; ; ; ; ;NXP; ;QFN-56-EPAD; ; ; ; ; ; ; 
DA2;Микросхема;LT3995IMSE#PBF; ; ; ; ;Linear; ;MSOP-16-EPAD; ; ; ; ; ; ; 
DD1;Микросхема;TPS3808G01DBVRG4; ; ; ; ;Texas Instruments; ;SOT-23-6; ; ; ; ; ; ; 
DD2;Микросхема;SN74LVC1G11DCKREP; ; ; ; ;Texas Instruments; ;SC70-6; ; ; ; ; ; ; 
DD3;Микросхема;LTC4303IMS8; ; ; ; ;Linear;*;MSOP-8; ; ; ; ; ; ; 
DD4;Микросхема;88E6097-A2-TAH1I000; ; ; ; ;Marvell; ;TQFP-176-EPAD; ; ; ; ; ; ; 
DD5;Микросхема;AT93C66B-XHM-T; ; ; ; ;Atmel; ;TSSOP-8; ; ; ; ; ; ; 
DD6;Микросхема;88E6097-A2-TAH1I000; ; ; ; ;Marvell; ;TQFP-176-EPAD; ; ; ; ; ; ; 
DD7;Микросхема;AT93C66B-XHM-T; ; ; ; ;Atmel; ;TSSOP-8; ; ; ; ; ; ; 
DD8;Микросхема;I210-IS; ; ; ; ;Intel;*;QFN-64-EPAD; ; ; ; ; ; ; 
DD9;Микросхема;SST25VF040B-50-4I-SAE; ; ; ; ;Microchip;*;SOIC-8; ; ; ; ; ; ; 
DD10;Микросхема;MK22FX512AVLH12; ; ; ; ;NXP; ;LQFP-48; ; ; ; ; ; ; 
DD11;Микросхема;LTC4303IMS8; ; ; ; ;Linear; ;MSOP-8; ; ; ; ; ; ; 
DD12;Микросхема;AT24C32E-XHM-T; ; ; ; ;Atmel; ;TSSOP-8; ; ; ; ; ; ; 
DD13;Микросхема;TMP100MDBVREP; ; ; ; ;Texas Instruments; ;SOT-23-6; ; ; ; ; ; ; 
DD14;Микросхема;TMP100MDBVREP; ; ; ; ;Texas Instruments; ;SOT-23-6; ; ; ; ; ; ; 
F1;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F2;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse;*;SOT-23-6; ; ; ; ; ; ; 
F3;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F4;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F5;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F6;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F7;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F8;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F9;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F10;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F11;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F12;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F13;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F14;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F15;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
F16;Устройство защиты;SP0504SHTG; ; ; ; ;Littlefuse; ;SOT-23-6; ; ; ; ; ; ; 
FU1;Предохранитель;SF-0603S100-2; ;1 А; ; ;Bourns; ;0603; ; ; ; ; ; ; 
FU2;Предохранитель;SF-0603S250-2; ;2,5 А; ; ;Bourns; ;0603; ; ; ; ; ; ; 
HL1;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL2;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL3;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL4;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL5;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL6;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL7;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL8;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL9;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL10;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL11;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL12;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL13;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL14;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL15;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL16;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL17;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
HL18;Индикатор (двухуровневый);L-4060VH/2GD; ;Зелёный; ; ;Kingbright;*;DIP-4; ; ; ; ; ; ; 
HL19;Индикатор (двухуровневый);L-4060VH/2GD; ;Зелёный; ; ;Kingbright;*;DIP-4; ; ; ; ; ; ; 
HL20;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED;*;0603; ; ; ; ; ; ; 
HL21;Индикатор (двухуровневый);L-4060VH/2GD; ;Зелёный; ; ;Kingbright;*;DIP-4; ; ; ; ; ; ; 
HL22;Светодиод;BL-HG036D-TRB; ;Зелёный; ; ;Bright LED; ;0603; ; ; ; ; ; ; 
L1;Дроссель;XAL4020-102MEB; ;1 мк; ; ;Coilcraft; ;SMD 4x4; ; ; ; ; ; ; 
L2;Дроссель;XAL4020-102MEB; ;1 мк; ; ;Coilcraft; ;SMD 4x4; ; ; ; ; ; ; 
L3;Дроссель;XAL5050-822MEB; ;8,2 мк; ; ;Coilcraft; ;SMD 5,48x5,28; ; ; ; ; ; ; 
R1;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R2;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R3;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R4;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R5;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R6;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R7;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R8;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R9;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R10;Чип резистор;CRCW0402100KFKED; ;100 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;1
R11;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R12;Чип резистор;CRCW04021K62FKED; ;1,62 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;1
R13;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R14;Чип резистор;CRCW0402182KFKED; ;182 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;1
R15;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R16;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R17;Чип резистор;CRCW0402576KFKED; ;576 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;1
R18;Чип резистор;CRCW04021M00FKED; ;1 М; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;1
R19;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R20;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R21;Чип резистор;CRCW0402100KFKED; ;100 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;1
R22;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R23;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R24;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R25;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R26;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay;*;0402;100 ppm/K; ; ; ; ; ;5
R27;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay;*;0402;100 ppm/K; ; ; ; ; ;5
R28;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R29;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R30;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R31;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R32;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R33;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay; ;0402; ; ; ; ; ; ; 
R34;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R35;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R36;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R37;Чип резистор;CRCW04020000Z0ED; ;0; ; ;Vishay;*;0402; ; ; ; ; ; ; 
R38;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R39;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R40;Чип резистор;CRCW04022K00FKED; ;2 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;1
R41;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R42;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay;*;0402;100 ppm/K; ; ; ; ; ;5
R43;Чип резистор;CRCW040210K0JKED; ;10 к; ; ;Vishay;*;0402;100 ppm/K; ; ; ; ; ;5
R44;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R45;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R46;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R47;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R48;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R49;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R50;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R51;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R52;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R53;Чип резистор;CRCW0402330RJKED; ;330; ; ;Vishay; ;0402;100 ppm/K; ; ; ; ; ;5
R54;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R55;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R56;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R57;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R58;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R59;Чип резистор;CRCW060375R0FKED; ;75; ; ;Vishay; ;0603;100 ppm/K; ; ; ; ; ;1
R60;Чип резистор;CRCW1206510KJKED; ;510 к; ; ;Vishay; ;1206;100 ppm/K; ; ; ; ; ;5
